Model has been successfully loaded from models/lrw_resnet18_mstcn_adamw_s3.pth.tar
----------
Epoch 0/79
Current learning rate: 0.0003
[    2/10493 (0%)]	Loss: 4.6572	Acc:0.0000	Cost time:1.810 (1.810)s	Data time:0.260 (0.260)	Instances per second: 1.10
[  102/10493 (1%)]	Loss: 4.6693	Acc:0.0095	Cost time:0.175 (0.221)s	Data time:0.022 (0.027)	Instances per second: 9.04
[  202/10493 (2%)]	Loss: 4.6144	Acc:0.0147	Cost time:0.175 (0.198)s	Data time:0.022 (0.024)	Instances per second: 10.09
[  302/10493 (3%)]	Loss: 4.5997	Acc:0.0196	Cost time:0.177 (0.191)s	Data time:0.023 (0.024)	Instances per second: 10.47
[  402/10493 (4%)]	Loss: 4.5771	Acc:0.0262	Cost time:0.205 (0.188)s	Data time:0.022 (0.023)	Instances per second: 10.66
[  502/10493 (5%)]	Loss: 4.5285	Acc:0.0319	Cost time:0.177 (0.186)s	Data time:0.022 (0.023)	Instances per second: 10.73
[  602/10493 (6%)]	Loss: 4.4383	Acc:0.0627	Cost time:0.175 (0.185)s	Data time:0.022 (0.023)	Instances per second: 10.82
[  702/10493 (7%)]	Loss: 4.4084	Acc:0.0682	Cost time:0.176 (0.184)s	Data time:0.022 (0.023)	Instances per second: 10.89
[  802/10493 (8%)]	Loss: 4.3195	Acc:0.0925	Cost time:0.176 (0.183)s	Data time:0.022 (0.023)	Instances per second: 10.95
[  902/10493 (9%)]	Loss: 4.1963	Acc:0.1187	Cost time:0.175 (0.182)s	Data time:0.022 (0.023)	Instances per second: 11.00
[ 1002/10493 (10%)]	Loss: 4.0780	Acc:0.1373	Cost time:0.175 (0.181)s	Data time:0.022 (0.022)	Instances per second: 11.03
[ 1102/10493 (10%)]	Loss: 3.9463	Acc:0.1610	Cost time:0.176 (0.181)s	Data time:0.022 (0.022)	Instances per second: 11.06
[ 1202/10493 (11%)]	Loss: 3.8156	Acc:0.1869	Cost time:0.176 (0.180)s	Data time:0.022 (0.022)	Instances per second: 11.09
[ 1302/10493 (12%)]	Loss: 3.6992	Acc:0.2079	Cost time:0.177 (0.180)s	Data time:0.022 (0.022)	Instances per second: 11.11
[ 1402/10493 (13%)]	Loss: 3.6039	Acc:0.2225	Cost time:0.176 (0.180)s	Data time:0.022 (0.022)	Instances per second: 11.13
[ 1502/10493 (14%)]	Loss: 3.5044	Acc:0.2432	Cost time:0.176 (0.179)s	Data time:0.022 (0.022)	Instances per second: 11.14
[ 1602/10493 (15%)]	Loss: 3.4241	Acc:0.2615	Cost time:0.176 (0.179)s	Data time:0.022 (0.022)	Instances per second: 11.16
[ 1702/10493 (16%)]	Loss: 3.3594	Acc:0.2741	Cost time:0.176 (0.179)s	Data time:0.022 (0.022)	Instances per second: 11.17
[ 1802/10493 (17%)]	Loss: 3.2792	Acc:0.2904	Cost time:0.176 (0.179)s	Data time:0.022 (0.022)	Instances per second: 11.18
[ 1902/10493 (18%)]	Loss: 3.2189	Acc:0.3008	Cost time:0.175 (0.179)s	Data time:0.022 (0.022)	Instances per second: 11.19
[ 2002/10493 (19%)]	Loss: 3.1512	Acc:0.3126	Cost time:0.176 (0.179)s	Data time:0.022 (0.022)	Instances per second: 11.20
[ 2102/10493 (20%)]	Loss: 3.0728	Acc:0.3301	Cost time:0.175 (0.178)s	Data time:0.022 (0.022)	Instances per second: 11.21
